age,income,experience,purchased
56,24000,29,0
46,90588,16,1
32,121042,25,1
60,113610,35,1
25,140420,0,0
38,123691,7,1
56,126306,34,1
36,117856,14,1
40,58304,21,0
28,131783,13,1
28,89449,25,1
41,102986,27,1
53,109643,22,1
57,40764,13,0
41,128940,23,1
20,106027,1,0
39,58494,25,0
19,23373,13,0
41,32161,6,0
61,117532,2,0
47,112658,22,1
55,143633,17,1
19,120386,37,1
38,47350,34,0
50,113008,14,1
29,114297,24,1
39,45351,36,0
61,108668,27,1
42,134585,9,1
44,35305,38,0
59,95353,16,1
45,96797,38,1
33,85953,21,1
32,77458,25,1
64,127112,24,1
61,40358,16,0
20,23267,12,0
54,102745,19,1
24,109588,24,1
38,58513,3,0
26,46092,9,0
56,31338,2,0
35,20412,17,0
21,27543,35,0
42,125891,21,1
31,53496,33,0
26,80692,7,1
43,109084,39,1
19,112920,18,1
37,143555,36,1
45,64425,5,0
64,58756,25,0
24,38888,33,0
61,55735,5,0
25,67295,36,0
64,137474,32,1
52,134352,21,1
31,103042,20,1
34,105999,5,0
53,37955,5,0
57,57841,3,0
21,90640,29,1
19,85510,10,1
23,54911,29,0
59,79031,30,1
21,108726,23,1
46,27357,8,0
35,52479,2,0
43,81476,30,1
61,64811,39,0
51,56208,36,0
27,40150,35,0
53,91180,23,1
31,63286,30,0
48,132856,5,0
32,88450,1,0
25,41352,19,0
31,75069,27,1
40,131888,10,1
57,130448,3,0
38,34397,14,0
33,61555,5,0
62,66959,29,0
35,20728,37,0
64,70517,1,0
41,139180,14,1
43,86234,10,1
42,59954,7,0
62,67280,25,0
58,99459,4,0
46,36779,5,0
32,83932,25,1
62,92936,3,0
18,44466,18,0
42,56939,19,0
24,89896,32,1
26,55270,19,0
41,79163,11,1
18,102637,0,0
61,71934,25,1
25,84895,13,1
41,52307,37,0
28,74098,36,1
34,80921,10,1
25,25486,35,0
52,28335,12,0
52,106900,2,0
50,146020,32,1
22,141954,5,0
59,122795,9,1
56,109112,4,0
58,117203,22,1
45,31130,9,0
24,107508,1,0
26,125955,12,1
25,138324,39,1
29,80566,1,0
51,86703,19,1
50,47192,0,0
40,21062,36,0
41,104076,8,1
54,109780,16,1
52,41545,8,0
61,41689,10,0
57,31174,14,0
39,108461,23,1
44,146174,37,1
52,123033,34,1
18,29348,29,0
52,43714,30,0
54,58102,4,0
64,94460,13,1
31,122634,10,1
20,109930,8,1
18,26801,33,0
22,123150,11,1
43,92267,34,1
31,68136,34,0
56,43625,0,0
44,102873,39,1
26,120843,21,1
32,92592,28,1
32,97052,7,1
43,64261,10,0
59,21542,36,0
30,41677,13,0
49,66732,29,0
56,70343,34,1
49,59081,20,0
21,82856,36,1
47,113105,4,0
54,108858,18,1
40,39065,13,0
56,144097,25,1
62,103460,3,0
32,108092,24,1
60,146116,24,1
46,74693,17,1
53,46962,39,0
30,48295,7,0
49,33807,38,0
24,62348,39,0
39,46432,13,0
45,103285,31,1
19,126995,37,1
59,111792,32,1
62,77854,22,1
23,60262,14,0
45,57080,32,0
45,21324,24,0
61,111267,16,1
61,144707,32,1
37,55909,1,0
47,109339,13,1
28,39870,39,0
45,54578,39,0
42,92124,38,1
56,137611,5,0
50,123605,5,0
18,46790,2,0
44,138874,6,1
30,45289,7,0
58,75129,14,1
20,113714,28,1
56,114246,32,1
23,35485,29,0
25,64482,38,0
44,106188,26,1
26,24748,35,0
54,106769,28,1
50,29435,37,0
59,23709,32,0
61,143961,36,1
41,50355,26,0
32,75771,32,1
49,77799,3,0
49,33116,21,0
41,45470,1,0
58,62344,9,0
29,62918,4,0
56,72224,9,1
19,59298,32,0
20,128492,37,1
54,100219,12,1
34,81629,30,1
19,86040,35,1
19,119518,23,1
45,119835,14,1
40,48016,28,0
54,43960,7,0
49,53591,4,0
50,102848,28,1
18,123333,3,0
36,131732,11,1
19,134821,1,0
61,87641,26,1
43,56395,30,0
49,131276,35,1
23,149695,35,1
49,42700,25,0
21,54620,26,0
28,123214,4,0
34,148148,19,1
55,40559,10,0
41,113045,9,1
22,113396,39,1
51,81642,37,1
23,96539,5,0
39,41732,7,0
28,148675,22,1
33,111362,25,1
50,50354,11,0
26,33843,25,0
23,130008,12,1
33,134065,39,1
46,91726,17,1
20,37640,24,0
37,72528,32,1
53,58413,39,0
36,148142,11,1
43,72638,35,1
20,72736,3,0
36,127892,4,0
37,130133,36,1
49,126357,7,1
24,88866,27,1
58,39087,30,0
50,61430,8,0
57,44504,28,0
56,27114,13,0
35,98859,39,1
57,119657,21,1
18,30975,10,0
28,31023,22,0
45,41447,0,0
42,110469,36,1
40,145899,20,1
48,43959,25,0
47,86203,35,1
59,139156,22,1
52,49703,0,0
24,29337,39,0
33,66427,14,0
43,141507,20,1
19,81529,8,1
18,122023,8,1
29,104665,9,1
22,125787,25,1
54,51921,34,0
49,53307,24,0
26,47355,25,0
